type,name,path,issue
TEXTURE,Liam_Unwin_20260315_1854_3D_Mesh_Modular_Vault_Door_And_Vault_Door_Frame_DOOR_FRAME_Metallic,/Game/DropOff/2D,2048x2048px (limit: 2048px)
TEXTURE,Liam_Unwin_20260315_1854_3D_Mesh_Modular_Vault_Door_And_Vault_Door_Frame_DOOR_FRAME_Height,/Game/DropOff/2D,2048x2048px (limit: 2048px)
TEXTURE,Liam_Unwin_20260315_1854_3D_Mesh_Modular_Vault_Door_And_Vault_Door_Frame_DOOR_FRAME_BaseColor,/Game/DropOff/2D,2048x2048px (limit: 2048px)
TEXTURE,Liam_Unwin_20260315_1853_3D_Mesh_Vault_Bolts_standardSurface1_Roughness,/Game/DropOff/2D,2048x2048px (limit: 2048px)
TEXTURE,Liam_Unwin_20260315_1853_3D_Mesh_Vault_Bolts_standardSurface1_Normal,/Game/DropOff/2D,2048x2048px (limit: 2048px)
TEXTURE,Liam_Unwin_20260315_1853_3D_Mesh_Vault_Bolts_standardSurface1_Metallic,/Game/DropOff/2D,2048x2048px (limit: 2048px)
TEXTURE,Liam_Unwin_20260315_1853_3D_Mesh_Vault_Bolts_standardSurface1_Height,/Game/DropOff/2D,2048x2048px (limit: 2048px)
TEXTURE,Liam_Unwin_20260315_1853_3D_Mesh_Vault_Bolts_standardSurface1_BaseColor,/Game/DropOff/2D,2048x2048px (limit: 2048px)
TEXTURE,Liam_Unwin_20260315_1853_3D_Mesh_Modular_Floor_And_Vault_Ceiling_standardSurface1_Roughness,/Game/DropOff/2D,2048x2048px (limit: 2048px)
TEXTURE,Liam_Unwin_20260315_1853_3D_Mesh_Modular_Floor_And_Vault_Ceiling_standardSurface1_Normal,/Game/DropOff/2D,2048x2048px (limit: 2048px)
TEXTURE,Liam_Unwin_20260315_1853_3D_Mesh_Modular_Floor_And_Vault_Ceiling_standardSurface1_Metallic,/Game/DropOff/2D,2048x2048px (limit: 2048px)
TEXTURE,Liam_Unwin_20260315_1853_3D_Mesh_Modular_Floor_And_Vault_Ceiling_standardSurface1_Height,/Game/DropOff/2D,2048x2048px (limit: 2048px)
TEXTURE,Liam_Unwin_20260315_1853_3D_Mesh_Modular_Floor_And_Vault_Ceiling_standardSurface1_BaseColor,/Game/DropOff/2D,2048x2048px (limit: 2048px)
SIZE,Liam_Unwin_20260315_1853_3D_Mesh_Modular_Floor_And_Vault_Ceiling_standardSurface1_BaseColor,/Game/DropOff/2D,1.49 MB on disk (limit: 1.0 MB)
TEXTURE,Liam_Unwin_20260315_1852_3D_Mesh_Modular_Floor_And_Vault_Ceiling_standardSurface1_Roughness,/Game/DropOff/2D,2048x2048px (limit: 2048px)
TEXTURE,Liam_Unwin_20260315_1852_3D_Mesh_Modular_Floor_And_Vault_Ceiling_standardSurface1_Normal,/Game/DropOff/2D,2048x2048px (limit: 2048px)
TEXTURE,Liam_Unwin_20260315_1852_3D_Mesh_Modular_Floor_And_Vault_Ceiling_standardSurface1_Metallic,/Game/DropOff/2D,2048x2048px (limit: 2048px)
TEXTURE,Liam_Unwin_20260315_1852_3D_Mesh_Modular_Floor_And_Vault_Ceiling_standardSurface1_Height,/Game/DropOff/2D,2048x2048px (limit: 2048px)
